climb_name,climb_url,stage_id
Côte de Laukiz,location/cote-de-laukiz,1
Côte de San Juan de Gaztelugatxe,location/alto-de-san-juan-de-gaztelugatxe,1
Col de Morga,location/alto-de-morga,1
Côte de Vivero,location/alto-el-vivero,1
Côte de Pike,location/alto-pike,1
Col d'Udana,location/puerto-de-udana,2
Côte d'Aztiria,location/alto-de-aztiria,2
Côte d'Alkiza,location/alkiza,2
Côte de Gurutze,location/gurutze,2
Jaizkibel,location/alto-de-jaizkibel,2
Côte de Trabakua,location/trabakua,3
Côte de Milloi,location/milloi,3
Col d'Itziar,location/alto-de-itziar,3
Côte d'Orioko Benta,location/alto-orioko-benta,3
Côte de Dému,location/cote-de-demu,4
Col de Soudet,location/col-de-soudet,5
Col d'Ichère,location/col-d-ichere,5
Col de Marie Blanque,location/col-du-marie-blanque,5
Côte de Capvern-les-Bains,location/cote-de-capvern-les-bains,6
Col d'Aspin,location/col-d-aspin,6
Col du Tourmalet,location/col-du-tourmalet,6
Cauterets-Cambrasque,location/cauterets-cambasque,6
Côte de Béguey,location/cote-de-beguey,7
Côte de Champs-Romain,location/cote-de-champs-romain,8
Côte de Masmont,location/cote-de-masmont,8
Côte de Condat-sur-Vienne,location/cote-de-condat-sur-vienne,8
Côte de Felletin,location/cote-de-felletin,9
Côte de Pontcharraud,location/cote-de-pontcharraud,9
Côte de Pontaumur,location/cote-de-pontaumur,9
Puy de Dôme,location/puy-de-dome,9
Col de la Moréno,location/col-de-la-moreno,10
Col de Guéry,location/col-de-guery,10
Col de la Croix Saint-Robert,location/col-de-la-croix-saint-robert,10
Côte de Saint-Victor-la-Rivière,location/cote-de-saint-victor-la-riviere,10
Côte de la Chapelle-Marcousse,location/cote-de-la-chapelle-marcousse,10
Côte de Chaptuzat-Haut,location/cote-de-chaptuzat-haut,11
Côte du Mercurol,location/cote-du-mercurol,11
Côte de la Croix Blanche,location/cote-de-la-croix-blanche-puy-de-dome,11
Côte de Thizy-les-Bourgs,location/cote-de-thizy-les-bourgs,12
Col des Écorbans,location/col-des-ecorbans,12
Col de la Casse Froide,location/col-de-la-casse-froide,12
Col de la Croix Montmain,location/col-de-la-croix-montmain,12
Col de la Croix Rosier,location/col-de-la-croix-rosier,12
Grand Colombier,location/col-du-grand-colombier,13
Col de Saxel,location/col-de-saxel,14
Col de Cou,location/col-de-cou,14
Col du Feu,location/col-du-feu,14
Col de la Ramaz,location/col-de-la-ramaz,14
Col de Joux Plane,location/col-de-joux-plane,14
Col de la Forclaz de Montmin,location/col-de-la-forclaz-montmin,15
Col de la Croix Fry,location/col-de-la-croix-fry,15
Col des Aravis,location/col-des-aravis,15
Côte des Amerands,location/cote-des-amerands,15
Saint-Gervais Mont-Blanc,location/saint-gervais-mont-blanc,15
Côte de Domancy,location/cote-de-domancy,16
Col des Saisies,location/col-des-saisies,17
Cormet de Roselend,location/cormet-de-roselend,17
Côte de Longefoy,location/cote-de-longefoy,17
Col de la Loze,location/col-de-la-loze,17
Côte de Chambéry-le-Haut,location/cote-de-chambery-le-haut,18
Côte de Boissieu,location/cote-de-boissieu,18
Côte du Bois de Lionge,location/cote-du-bois-de-lionge,19
Côte d'Ivory,location/cote-d-ivory,19
Ballon d'Alsace,location/ballon-d-alsace,20
Col de la Croix des Moinats,location/col-de-la-croix-des-moinats,20
Col de Grosse Pierre,location/col-de-grosse-pierre,20
Col de la Schlucht ,location/col-de-la-schlucht,20
Petit Ballon,location/petit-ballon,20
Col du Platzerwasel,location/col-du-platzerwasel,20
Côte du Pavé des Gardes,location/cote-du-pave-des-gardes,21
