stage_id,stage,length,winner,leader
1, bilbao - bilbao,182.0, yates_ adam , yates_ adam 
2, vitoria-gasteiz - donostia,208.9, lafay_ victor , yates_ adam 
3, amorebieta - bayonne,193.5, philipsen_ jasper , yates_ adam 
4, dax - nogaro,181.8, philipsen_ jasper , yates_ adam 
5, pau - laruns,162.7, hindley_ jai , hindley_ jai 
6, tarbes - cauterets,144.9, pogačar_ tadej , vingegaard_ jonas 
7, mont-de-marsan - bordeaux,169.9, philipsen_ jasper , vingegaard_ jonas 
8, libourne - limoges,200.7, pedersen_ mads , vingegaard_ jonas 
9, saint-léonard-de-noblat - puy de..,182.4, woods_ michael , vingegaard_ jonas 
10, vulcania - issoire,167.2, bilbao_ pello , vingegaard_ jonas 
11, clermont-ferrand - moulins,179.8, philipsen_ jasper , vingegaard_ jonas 
12, roanne - belleville-en-beaujolais,168.8, izagirre_ ion , vingegaard_ jonas 
13, châtillon-sur-chalaronne - grand..,137.8, kwiatkowski_ mi.. , vingegaard_ jonas 
14, annemasse - morzine,151.8, rodríguez_ carl.. , vingegaard_ jonas 
15, les gets - saint-gervais-mont-bl..,179.0, poels_ wout , vingegaard_ jonas 
16, passy - combloux,22.4, vingegaard_ jonas , vingegaard_ jonas 
17, saint-gervais-mont-blanc - courc..,165.7, gall_ felix , vingegaard_ jonas 
18, moûtiers - bourg-en-bresse,184.9, asgreen_ kasper , vingegaard_ jonas 
19, moirans-en-montagne - poligny,172.8, mohorič_ matej , vingegaard_ jonas 
20, belfort - le markstein,133.5, pogačar_ tadej , vingegaard_ jonas 
21, saint-quentin-en-yvelines - paris,115.1, meeus_ jordi , vingegaard_ jonas 
