rider_name_id,rider_name,nationality,team_name,ranking
1,vingegaard_jonas,dk,jumbo_visma,wt
2,benoot_tiesj,be,jumbo_visma,wt
3,kelderman_wilco,nl,jumbo_visma,wt
4,kuss_sepp,us,jumbo_visma,wt
5,laporte_christophe,fr,jumbo_visma,wt
6,van_aert_wout,be,jumbo_visma,wt
7,van_baarle_dylan,nl,jumbo_visma,wt
8,van_hooydonck_nathan,be,jumbo_visma,wt
9,pogačar_tadej,si,uae_team_emirates,wt
10,bjerg_mikkel,dk,uae_team_emirates,wt
11,großschartner_felix,at,uae_team_emirates,wt
12,laengen_vegard_stake,no,uae_team_emirates,wt
13,majka_rafał,pl,uae_team_emirates,wt
14,soler_marc,es,uae_team_emirates,wt
15,trentin_matteo,it,uae_team_emirates,wt
16,yates_adam,gb,uae_team_emirates,wt
17,bernal_egan,co,ineos_grenadiers,wt
18,castroviejo_jonathan,es,ineos_grenadiers,wt
19,fraile_omar,es,ineos_grenadiers,wt
20,kwiatkowski_michał,pl,ineos_grenadiers,wt
21,martínez_daniel_felipe,co,ineos_grenadiers,wt
22,pidcock_thomas,gb,ineos_grenadiers,wt
23,rodríguez_carlos,es,ineos_grenadiers,wt
24,turner_ben,gb,ineos_grenadiers,wt
25,gaudu_david,fr,groupama_fdj,wt
26,geniets_kevin,lu,groupama_fdj,wt
27,küng_stefan,ch,groupama_fdj,wt
28,le_gac_olivier,fr,groupama_fdj,wt
29,madouas_valentin,fr,groupama_fdj,wt
30,pacher_quentin,fr,groupama_fdj,wt
31,pinot_thibaut,fr,groupama_fdj,wt
32,van_den_berg_lars,nl,groupama_fdj,wt
33,carapaz_richard,ec,ef_education_easypost,wt
34,amador_andrey,cr,ef_education_easypost,wt
35,bettiol_alberto,it,ef_education_easypost,wt
36,chaves_esteban,co,ef_education_easypost,wt
37,cort_magnus,dk,ef_education_easypost,wt
38,powless_neilson,us,ef_education_easypost,wt
39,shaw_james,gb,ef_education_easypost,wt
40,urán_rigoberto,co,ef_education_easypost,wt
41,alaphilippe_julian,fr,soudal_quick_step,wt
42,asgreen_kasper,dk,soudal_quick_step,wt
43,cavagna_rémi,fr,soudal_quick_step,wt
44,declercq_tim,be,soudal_quick_step,wt
45,devenyns_dries,be,soudal_quick_step,wt
46,jakobsen_fabio,nl,soudal_quick_step,wt
47,lampaert_yves,be,soudal_quick_step,wt
48,mørkøv_michael,dk,soudal_quick_step,wt
49,landa_mikel,es,bahrain_victorious,wt
50,arndt_nikias,de,bahrain_victorious,wt
51,bauhaus_phil,de,bahrain_victorious,wt
52,bilbao_pello,es,bahrain_victorious,wt
53,haig_jack,au,bahrain_victorious,wt
54,mohorič_matej,si,bahrain_victorious,wt
55,poels_wout,nl,bahrain_victorious,wt
56,wright_fred,gb,bahrain_victorious,wt
57,hindley_jai,au,bora_hansgrohe,wt
58,buchmann_emanuel,de,bora_hansgrohe,wt
59,haller_marco,at,bora_hansgrohe,wt
60,jungels_bob,lu,bora_hansgrohe,wt
61,konrad_patrick,at,bora_hansgrohe,wt
62,meeus_jordi,be,bora_hansgrohe,wt
63,politt_nils,de,bora_hansgrohe,wt
64,van_poppel_danny,nl,bora_hansgrohe,wt
65,ciccone_giulio,it,lidl_trek,wt
66,gallopin_tony,fr,lidl_trek,wt
67,skjelmose_mattias,dk,lidl_trek,wt
68,kirsch_alex,lu,lidl_trek,wt
69,lópez_juan_pedro,es,lidl_trek,wt
70,pedersen_mads,dk,lidl_trek,wt
71,simmons_quinn,us,lidl_trek,wt
72,stuyven_jasper,be,lidl_trek,wt
73,oconnor_ben,au,ag2r_citroën_team,wt
74,berthet_clément,fr,ag2r_citroën_team,wt
75,cosnefroy_benoît,fr,ag2r_citroën_team,wt
76,dewulf_stan,be,ag2r_citroën_team,wt
77,gall_felix,at,ag2r_citroën_team,wt
78,naesen_oliver,be,ag2r_citroën_team,wt
79,paret-peintre_aurélien,fr,ag2r_citroën_team,wt
80,peters_nans,fr,ag2r_citroën_team,wt
81,van_der_poel_mathieu,nl,alpecin_deceuninck,wt
