stage_id,stage,length,winner,leader
1,bilbao - bilbao,182,yates_adam,yates_adam
2,vitoria-gasteiz - donostia,208,lafay_victor,yates_adam
3,amorebieta - bayonne,193,philipsen_jasper,yates_adam
4,dax - nogaro,181,philipsen_jasper,yates_adam
5,pau - laruns,162,hindley_jai,hindley_jai
6,tarbes - cauterets,144,pogačar_tadej,vingegaard_jonas
7,mont-de-marsan - bordeaux,169,philipsen_jasper,vingegaard_jonas
8,libourne - limoges,200,pedersen_mads,vingegaard_jonas
9,saint-léonard-de-noblat - puy de,182,woods_michael,vingegaard_jonas
10,vulcania - issoire,167,bilbao_pello,vingegaard_jonas
11,clermont-ferrand - moulins,179,philipsen_jasper,vingegaard_jonas
12,roanne - belleville-en-beaujolais,168,izagirre_ion,vingegaard_jonas
13,châtillon-sur-chalaronne - grand,137,kwiatkowski_michal,vingegaard_jonas
14,annemasse - morzine,151,rodríguez_carlos,vingegaard_jonas
15,les gets - saint-gervais-mont-bl,179,poels_wout,vingegaard_jonas
16,passy - combloux,22,vingegaard_jonas,vingegaard_jonas
17,saint-gervais-mont-blanc - courc,165,gall_felix,vingegaard_jonas
18,moûtiers - bourg-en-bresse,184,asgreen_kasper,vingegaard_jonas
19,moirans-en-montagne - poligny,172,mohorič_matej,vingegaard_jonas
20,belfort - le markstein,133,pogačar_tadej,vingegaard_jonas
21,saint-quentin-en-yvelines - paris,115,meeus_jordi,vingegaard_jonas
