rider_name_id,rider_name,nationality,team_name,ranking
1,vingegaard_jonas,dk,jumbo-visma ,wt
2,benoot_tiesj,be,jumbo-visma ,wt
3,kelderman_wilco,nl,jumbo-visma ,wt
4,kuss_sepp,us,jumbo-visma ,wt
5,laporte_christophe,fr,jumbo-visma ,wt
6,van_aert_wout,be,jumbo-visma ,wt
7,van_baarle_dylan,nl,jumbo-visma ,wt
8,van_hooydonck_nathan,be,jumbo-visma ,wt
9,pogačar_tadej,si,uae team emirates ,wt
10,bjerg_mikkel,dk,uae team emirates ,wt
11,großschartner_felix,at,uae team emirates ,wt
12,laengen_vegard_stake,no,uae team emirates ,wt
13,majka_rafał,pl,uae team emirates ,wt
14,soler_marc,es,uae team emirates ,wt
15,trentin_matteo,it,uae team emirates ,wt
16,yates_adam,gb,uae team emirates ,wt
17,bernal_egan,co,ineos grenadiers ,wt
18,castroviejo_jonathan,es,ineos grenadiers ,wt
19,fraile_omar,es,ineos grenadiers ,wt
20,kwiatkowski_michał,pl,ineos grenadiers ,wt
21,martínez_daniel_felipe,co,ineos grenadiers ,wt
22,pidcock_thomas,gb,ineos grenadiers ,wt
23,rodríguez_carlos,es,ineos grenadiers ,wt
24,turner_ben,gb,ineos grenadiers ,wt
25,gaudu_david,fr,groupama - fdj ,wt
26,geniets_kevin,lu,groupama - fdj ,wt
27,küng_stefan,ch,groupama - fdj ,wt
28,le_gac_olivier,fr,groupama - fdj ,wt
29,madouas_valentin,fr,groupama - fdj ,wt
30,pacher_quentin,fr,groupama - fdj ,wt
31,pinot_thibaut,fr,groupama - fdj ,wt
32,van_den_berg_lars,nl,groupama - fdj ,wt
33,carapaz_richard,ec,ef education-easypost ,wt
34,amador_andrey,cr,ef education-easypost ,wt
35,bettiol_alberto,it,ef education-easypost ,wt
36,chaves_esteban,co,ef education-easypost ,wt
37,cort_magnus,dk,ef education-easypost ,wt
38,powless_neilson,us,ef education-easypost ,wt
39,shaw_james,gb,ef education-easypost ,wt
40,urán_rigoberto,co,ef education-easypost ,wt
41,alaphilippe_julian,fr,soudal - quick step ,wt
42,asgreen_kasper,dk,soudal - quick step ,wt
43,cavagna_rémi,fr,soudal - quick step ,wt
44,declercq_tim,be,soudal - quick step ,wt
45,devenyns_dries,be,soudal - quick step ,wt
46,jakobsen_fabio,nl,soudal - quick step ,wt
47,lampaert_yves,be,soudal - quick step ,wt
48,mørkøv_michael,dk,soudal - quick step ,wt
49,landa_mikel,es,bahrain - victorious ,wt
50,arndt_nikias,de,bahrain - victorious ,wt
51,bauhaus_phil,de,bahrain - victorious ,wt
52,bilbao_pello,es,bahrain - victorious ,wt
53,haig_jack,au,bahrain - victorious ,wt
54,mohorič_matej,si,bahrain - victorious ,wt
55,poels_wout,nl,bahrain - victorious ,wt
56,wright_fred,gb,bahrain - victorious ,wt
57,hindley_jai,au,bora - hansgrohe ,wt
58,buchmann_emanuel,de,bora - hansgrohe ,wt
59,haller_marco,at,bora - hansgrohe ,wt
60,jungels_bob,lu,bora - hansgrohe ,wt
61,konrad_patrick,at,bora - hansgrohe ,wt
62,meeus_jordi,be,bora - hansgrohe ,wt
63,politt_nils,de,bora - hansgrohe ,wt
64,van_poppel_danny,nl,bora - hansgrohe ,wt
65,ciccone_giulio,it,lidl - trek ,wt
66,gallopin_tony,fr,lidl - trek ,wt
67,skjelmose_mattias,dk,lidl - trek ,wt
68,kirsch_alex,lu,lidl - trek ,wt
69,lópez_juan_pedro,es,lidl - trek ,wt
70,pedersen_mads,dk,lidl - trek ,wt
71,simmons_quinn,us,lidl - trek ,wt
72,stuyven_jasper,be,lidl - trek ,wt
73,o'connor_ben,au,ag2r citroën team ,wt
74,berthet_clément,fr,ag2r citroën team ,wt
75,cosnefroy_benoît,fr,ag2r citroën team ,wt
76,dewulf_stan,be,ag2r citroën team ,wt
77,gall_felix,at,ag2r citroën team ,wt
78,naesen_oliver,be,ag2r citroën team ,wt
79,paret-peintre_aurélien,fr,ag2r citroën team ,wt
80,peters_nans,fr,ag2r citroën team ,wt
