rider_name,rider_url,nationality,rider_number,team_name,team_url
VINGEGAARD Jonas,rider/jonas-vingegaard-rasmussen,DK,1,Jumbo-Visma (WT),team/team-jumbo-visma-2023
BENOOT Tiesj,rider/tiesj-benoot,BE,2,Jumbo-Visma (WT),team/team-jumbo-visma-2023
KELDERMAN Wilco,rider/wilco-kelderman,NL,3,Jumbo-Visma (WT),team/team-jumbo-visma-2023
KUSS Sepp,rider/sepp-kuss,US,4,Jumbo-Visma (WT),team/team-jumbo-visma-2023
LAPORTE Christophe,rider/christophe-laporte,FR,5,Jumbo-Visma (WT),team/team-jumbo-visma-2023
VAN AERT Wout,rider/wout-van-aert,BE,6,Jumbo-Visma (WT),team/team-jumbo-visma-2023
VAN BAARLE Dylan,rider/dylan-van-baarle,NL,7,Jumbo-Visma (WT),team/team-jumbo-visma-2023
VAN HOOYDONCK Nathan,rider/nathan-van-hooydonck,BE,8,Jumbo-Visma (WT),team/team-jumbo-visma-2023
POGAČAR Tadej,rider/tadej-pogacar,SI,11,UAE Team Emirates (WT),team/uae-team-emirates-2023
BJERG Mikkel,rider/mikkel-bjerg,DK,12,UAE Team Emirates (WT),team/uae-team-emirates-2023
GROßSCHARTNER Felix,rider/felix-grossschartner,AT,14,UAE Team Emirates (WT),team/uae-team-emirates-2023
LAENGEN Vegard Stake,rider/vegard-stake-laengen,NO,15,UAE Team Emirates (WT),team/uae-team-emirates-2023
MAJKA Rafał,rider/rafal-majka,PL,16,UAE Team Emirates (WT),team/uae-team-emirates-2023
SOLER Marc,rider/marc-soler,ES,17,UAE Team Emirates (WT),team/uae-team-emirates-2023
TRENTIN Matteo,rider/matteo-trentin,IT,18,UAE Team Emirates (WT),team/uae-team-emirates-2023
YATES Adam,rider/adam-yates,GB,19,UAE Team Emirates (WT),team/uae-team-emirates-2023
BERNAL Egan,rider/egan-bernal,CO,21,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
CASTROVIEJO Jonathan,rider/jonathan-castroviejo,ES,22,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
FRAILE Omar,rider/omar-fraile,ES,23,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
KWIATKOWSKI Michał,rider/michal-kwiatkowski,PL,24,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
MARTÍNEZ Daniel Felipe,rider/daniel-felipe-martinez,CO,25,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
PIDCOCK Thomas,rider/thomas-pidcock,GB,26,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
RODRÍGUEZ Carlos,rider/carlos-rodriguez-cano,ES,27,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
TURNER Ben,rider/ben-turner,GB,28,INEOS Grenadiers (WT),team/ineos-grenadiers-2023
GAUDU David,rider/david-gaudu,FR,31,Groupama - FDJ (WT),team/groupama-fdj-2023
GENIETS Kevin,rider/kevin-geniets,LU,32,Groupama - FDJ (WT),team/groupama-fdj-2023
KÜNG Stefan,rider/stefan-kung,CH,33,Groupama - FDJ (WT),team/groupama-fdj-2023
LE GAC Olivier,rider/olivier-le-gac,FR,34,Groupama - FDJ (WT),team/groupama-fdj-2023
MADOUAS Valentin,rider/valentin-madouas,FR,35,Groupama - FDJ (WT),team/groupama-fdj-2023
PACHER Quentin,rider/quentin-pacher,FR,36,Groupama - FDJ (WT),team/groupama-fdj-2023
PINOT Thibaut,rider/thibaut-pinot,FR,37,Groupama - FDJ (WT),team/groupama-fdj-2023
VAN DEN BERG Lars,rider/lars-van-den-berg,NL,38,Groupama - FDJ (WT),team/groupama-fdj-2023
CARAPAZ Richard,rider/richard-carapaz,EC,41,EF Education-EasyPost (WT),team/ef-education-easypost-2023
AMADOR Andrey,rider/andrey-amador,CR,42,EF Education-EasyPost (WT),team/ef-education-easypost-2023
BETTIOL Alberto,rider/alberto-bettiol,IT,43,EF Education-EasyPost (WT),team/ef-education-easypost-2023
CHAVES Esteban,rider/johan-esteban-chaves,CO,44,EF Education-EasyPost (WT),team/ef-education-easypost-2023
CORT Magnus,rider/magnus-cort-nielsen,DK,45,EF Education-EasyPost (WT),team/ef-education-easypost-2023
POWLESS Neilson,rider/neilson-powless,US,46,EF Education-EasyPost (WT),team/ef-education-easypost-2023
SHAW James,rider/james-shaw,GB,47,EF Education-EasyPost (WT),team/ef-education-easypost-2023
URÁN Rigoberto,rider/rigoberto-uran,CO,48,EF Education-EasyPost (WT),team/ef-education-easypost-2023
ALAPHILIPPE Julian,rider/julian-alaphilippe,FR,51,Soudal - Quick Step (WT),team/soudal-quick-step-2023
ASGREEN Kasper,rider/kasper-asgreen,DK,52,Soudal - Quick Step (WT),team/soudal-quick-step-2023
CAVAGNA Rémi,rider/remi-cavagna,FR,53,Soudal - Quick Step (WT),team/soudal-quick-step-2023
DECLERCQ Tim,rider/tim-declercq,BE,54,Soudal - Quick Step (WT),team/soudal-quick-step-2023
DEVENYNS Dries,rider/dries-devenyns,BE,55,Soudal - Quick Step (WT),team/soudal-quick-step-2023
JAKOBSEN Fabio,rider/fabio-jakobsen,NL,56,Soudal - Quick Step (WT),team/soudal-quick-step-2023
LAMPAERT Yves,rider/yves-lampaert,BE,57,Soudal - Quick Step (WT),team/soudal-quick-step-2023
MØRKØV Michael,rider/michael-morkov,DK,58,Soudal - Quick Step (WT),team/soudal-quick-step-2023
LANDA Mikel,rider/mikel-landa,ES,62,Bahrain - Victorious (WT),team/bahrain-victorious-2023
ARNDT Nikias,rider/nikias-arndt,DE,63,Bahrain - Victorious (WT),team/bahrain-victorious-2023
BAUHAUS Phil,rider/phil-bauhaus,DE,64,Bahrain - Victorious (WT),team/bahrain-victorious-2023
BILBAO Pello,rider/pello-bilbao,ES,65,Bahrain - Victorious (WT),team/bahrain-victorious-2023
HAIG Jack,rider/jack-haig,AU,66,Bahrain - Victorious (WT),team/bahrain-victorious-2023
MOHORIČ Matej,rider/matej-mohoric,SI,67,Bahrain - Victorious (WT),team/bahrain-victorious-2023
POELS Wout,rider/wout-poels,NL,68,Bahrain - Victorious (WT),team/bahrain-victorious-2023
WRIGHT Fred,rider/alfred-wright,GB,69,Bahrain - Victorious (WT),team/bahrain-victorious-2023
HINDLEY Jai,rider/jai-hindley,AU,71,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
BUCHMANN Emanuel,rider/emanuel-buchmann,DE,72,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
HALLER Marco,rider/marco-haller,AT,73,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
JUNGELS Bob,rider/bob-jungels,LU,74,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
KONRAD Patrick,rider/patrick-konrad,AT,75,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
MEEUS Jordi,rider/jordi-meeus,BE,76,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
POLITT Nils,rider/nils-politt,DE,77,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
VAN POPPEL Danny,rider/danny-van-poppel,NL,78,BORA - hansgrohe (WT),team/bora-hansgrohe-2023
CICCONE Giulio,rider/giulio-ciccone,IT,81,Lidl - Trek (WT),team/lidl-trek-2023
GALLOPIN Tony,rider/tony-gallopin,FR,82,Lidl - Trek (WT),team/lidl-trek-2023
SKJELMOSE Mattias,rider/mattias-skjelmose-jensen,DK,83,Lidl - Trek (WT),team/lidl-trek-2023
KIRSCH Alex,rider/alex-kirsch,LU,84,Lidl - Trek (WT),team/lidl-trek-2023
LÓPEZ Juan Pedro,rider/juan-pedro-lopez,ES,85,Lidl - Trek (WT),team/lidl-trek-2023
PEDERSEN Mads,rider/mads-pedersen,DK,86,Lidl - Trek (WT),team/lidl-trek-2023
SIMMONS Quinn,rider/quinn-simmons,US,87,Lidl - Trek (WT),team/lidl-trek-2023
STUYVEN Jasper,rider/jasper-stuyven,BE,88,Lidl - Trek (WT),team/lidl-trek-2023
O'CONNOR Ben,rider/ben-o-connor,AU,91,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
BERTHET Clément,rider/clement-berthet,FR,92,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
COSNEFROY Benoît,rider/benoit-cosnefroy,FR,93,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
DEWULF Stan,rider/stan-dewulf,BE,94,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
GALL Felix,rider/felix-gall,AT,95,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
NAESEN Oliver,rider/oliver-naesen,BE,96,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
PARET-PEINTRE Aurélien,rider/aurelien-paret-peintre,FR,97,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
PETERS Nans,rider/nans-peters,FR,98,AG2R Citroën Team (WT),team/ag2r-citroen-team-2023
VAN DER POEL Mathieu,rider/mathieu-van-der-poel,NL,101,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
DILLIER Silvan,rider/silvan-dillier,CH,102,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
GOGL Michael,rider/michael-gogl,AT,103,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
HERMANS Quinten,rider/quinten-hermans,BE,104,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
KRAGH ANDERSEN Søren,rider/soren-kragh-andersen,DK,105,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
PHILIPSEN Jasper,rider/jasper-philipsen,BE,106,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
RICKAERT Jonas,rider/jonas-rickaert,BE,107,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
SINKELDAM Ramon,rider/ramon-sinkeldam,NL,108,Alpecin-Deceuninck (WT),team/alpecin-deceuninck-2023
GIRMAY Biniam,rider/biniam-girmay,ER,111,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
CALMEJANE Lilian,rider/lilian-calmejane,FR,112,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
COSTA Rui,rider/rui-costa,PT,113,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
MEINTJES Louis,rider/louis-meintjes,ZA,114,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
PETIT Adrien,rider/adrien-petit,FR,115,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
SMITH Dion,rider/dion-smith,NZ,116,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
TEUNISSEN Mike,rider/mike-teunissen,NL,117,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
ZIMMERMANN Georg,rider/georg-zimmermann,DE,118,Intermarché - Circus - Wanty (WT),team/intermarche-circus-wanty-2023
