,etapa,dorsal,corredor,equipo
1,1,131,MAS Enric,MOVISTAR
2,2,41,CARAPAZ Richard,EF
3,3,
4,4,
5,5,87,GUARNIERI Jacopo,LOTTO
6,5,197,SANCHEZ Luis Leon,
7,6,
8,7,
9,8,191,CAVENDISH Mark,ASTANA
10,8,214,CRAS Steff,TOTALENERGIES
11,9,87,SIMMONS Quinn,LIDL
12,10,
13,11,
14,12,56,JAKOBSEN Fabio,SOUDAL
15,13,193,DE LA CRUZ David,
16,13,28,TURNER Ben,INEOS
17,13,181,EWAN Caleb,LOTTO
18,14,44,CHAVES Jhoan Esteban
19,14,47,SHAW James,EF
20,14,108,SINKELDAM Ramon,ALPECIN-DECEUNINCK
21,14,114,MEINTJES Louis,INTERMARCHÉ
22,14,132,ALMEIDA GUERREIRO Ruben,
23,14,138,PEDRERO Antonio,MOVISTAR
24,14,141,BARDET Romain,TEAM
25,15,25,MARTINEZ POVEDA Daniel
26,16,135,JORGENSON Matteo,MOVISTAR
27,17,64,BAUHAUS Phil,BAHRAIN
28,17,127,RENARD Alexis,COFIDIS
29,18,6,VAN AERT Wout,
30,18,123,GESCHKE Simon,COFIDIS
31,18,126,PEREZ Anthony,COFIDIS
32,19,
33,20,125,LAFAY Victor,COFIDIS
34,21,
